yr,RushHour-High,relative_temp,RushHour-Med,relative_hum,hum,atemp,relative_windspeed,relative_atemp,workingday,cnt,RushHour-Low,holiday,temp,windspeed,season_spring,season_winter,season_summer,season_fall,weathersit_Acceptable,weathersit_Bad,weathersit_Good,weathersit_Chaos,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_0,weekday_1,weekday_5,weekday_6,weekday_4,weekday_3,weekday_2,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,instant,dteday,registered,casual
0,0,-1.2909944487358103,0,0.7925939239012157,0.8,0.2727,-0.4082482904638631,-0.41067112397624744,0,2,1,0,0.22,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5754294818295776,0.5626864529259473,0.6335498796087341,0.5028390353272076,0.6335498796087341,0.6335498796087341,0.6335498796087341,0.6335498796087341,0.6335498796087341,0.6335498796087341,0.6335498796087341,0.5028390353272076,0.6335498796087341,0.6335498796087341,0.5028390353272076,7,2011-01-01,0,2
0,0,-2.939873661036667,0,2.828427124746191,0.86,0.2576,-0.37796447300922725,-1.6975643452549214,0,3,1,0,0.2,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4266527819888068,0.41201870431881266,0.5122402746524307,0.3795083984203319,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.3795083984203319,0.5122402746524307,0.5122402746524307,0.3795083984203319,8,2011-01-01,2,1
0,0,0.8400268812903083,1,-1.0377490433255419,0.75,0.2879,-0.35355339059327373,1.0497175802303889,0,8,0,0,0.24,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4266527819888068,0.41201870431881266,0.5122402746524307,0.3795083984203319,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.5122402746524307,0.3795083984203319,0.5122402746524307,0.5122402746524307,0.3795083984203319,9,2011-01-01,7,1
0,0,6.270696725795358,1,-0.6647843099684926,0.76,0.3485,-0.3333333333333333,5.732372433829176,0,14,0,0,0.32,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5169814723570093,0.503727635178195,0.5920103369709636,0.4569986974845451,0.5920103369709636,0.5920103369709636,0.5920103369709636,0.5920103369709636,0.5920103369709636,0.5920103369709636,0.5920103369709636,0.4569986974845451,0.5920103369709636,0.5920103369709636,0.4569986974845451,10,2011-01-01,6,8
0,1,4.4510437419793,0,-0.619388588862349,0.76,0.3939,8.637676724884031,4.284211616477041,0,36,0,0,0.38,0.2537,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5936185965211047,0.5822292612173274,0.6524879222398532,0.5279050001668502,0.6524879222398532,0.6524879222398532,0.6524879222398532,0.6524879222398532,0.6524879222398532,0.6524879222398532,0.6524879222398532,0.5279050001668502,0.6524879222398532,0.6524879222398532,0.5279050001668502,11,2011-01-01,24,12
0,1,2.080625946441196,0,0.8102434340134084,0.81,0.3333,3.213729945629365,0.9649337257129253,0,56,0,0,0.36,0.2836,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5382665250581725,0.526265296930478,0.614801535966339,0.48352279352711935,0.614801535966339,0.614801535966339,0.614801535966339,0.614801535966339,0.614801535966339,0.614801535966339,0.614801535966339,0.48352279352711935,0.614801535966339,0.614801535966339,0.48352279352711935,12,2011-01-01,30,26
0,1,2.7080128015453186,0,-0.37827163638621913,0.77,0.4242,2.2144369194999345,3.1030615151141943,0,84,0,0,0.42,0.2836,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6126909273808887,0.6028973068384961,0.6650778287408773,0.5551181521061844,0.6650778287408773,0.6650778287408773,0.6650778287408773,0.6650778287408773,0.6650778287408773,0.6650778287408773,0.6650778287408773,0.5551181521061844,0.6650778287408773,0.6650778287408773,0.5551181521061844,13,2011-01-01,55,29
0,1,2.6105590043165683,0,-1.8353086946398187,0.72,0.4545,1.922404665094024,2.797839312663992,0,94,0,0,0.46,0.2985,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5181399615530032,0.5335858484978085,0.33029536329368914,0.5865956004493766,0.4941964437304292,0.4941964437304292,0.4941964437304292,0.4941964437304292,0.4941964437304292,0.4941964437304292,0.4941964437304292,0.5865956004493766,0.4941964437304292,0.4941964437304292,0.5865956004493766,14,2011-01-01,47,47
0,1,2.0415509743421785,0,-1.5798242922198846,0.72,0.4545,1.5233450166466598,2.133942821915816,0,106,0,0,0.46,0.2836,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9998691336069997,0.9999860411746694,0.9779867044705711,0.9958105528155565,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9958105528155565,0.9779867044705711,0.9779867044705711,0.9958105528155565,15,2011-01-01,71,35
0,1,1.5214905732253594,0,-0.10437883709948845,0.77,0.4394,1.4766099967752813,1.5830077832643887,0,110,0,0,0.44,0.2985,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9998691336069997,0.9999860411746694,0.9779867044705711,0.9958105528155565,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9779867044705711,0.9958105528155565,0.9779867044705711,0.9779867044705711,0.9958105528155565,16,2011-01-01,70,40
